"Auteur";"Identifiant auteur";"Titre";"Directeur de these";"Directeur de these (nom prenom)";"Identifiant directeur";"Etablissement de soutenance";"Identifiant etablissement";"Discipline";"Statut";"Date de premiere inscription en doctorat";"Date de soutenance";"Langue de la these";"Identifiant de la these";"Accessible en ligne";"Publication dans theses.fr";"Mise a jour dans theses.fr";
Kodjo Awussu Biakouye;183312740;Lomé au-delà de Lomé : étalement urbain et territoires dans une capitale d'Afrique sud-saharienne;Komlan Thiou Tanzidani Tchamie,Philippe Gervais-Lambony;Tchamie Komlan Thiou Tanzidani,Gervais-Lambony Philippe;143448072,033124205;Paris 10;026403587;Géographie;soutenue;;17-11-2014;fr;2014PA100138;non;26-09-2011;17-03-2017;
Ivaldo De Sousa Moreira;183107446;Gouvernance territoriale du développement rural au Brésil : le cas d'un front pionnier "Portal da Amazônia";Jean-Christian Tulet,Eric Sabourin;Tulet Jean-Christian,Sabourin Eric;034763910,059782897;Toulouse 2;026403994;Géographie;soutenue;;18-02-2014;fr;2014TOU20008;oui;26-09-2011;19-02-2016;
Antoine Delmas;192063219;Terre des Hommes, pays des glaces : L'expérience touristique au Groenland;Michel Desse,Daniel Peyrusaubes;Desse Michel,Peyrusaubes Daniel;050324500,099044994;Poitiers;026403765;Géographie;soutenue;;30-06-2014;fr;2014POIT5014;oui;26-09-2011;12-04-2016;
Eric Mathelin;179244809;Les lacs insulaires du sud-ouest de l'océan indien, un enjeu pour la gestion durable de la ressource en eau;Laurent Touchart;Touchart Laurent;035588748;Orléans;026402971;Géographie;soutenue;;17-12-2013;fr;2013ORLE1133;oui;26-09-2011;17-02-2017;
Main Kafa;177811358;L'habitat informel en Syrie : le cas de Damas;André Humbert;Humbert André;026928167;Université de Lorraine;157040569;Géographie;soutenue;;16-12-2013;fr;2013LORR0314;oui;26-09-2011;18-10-2016;
Fadila Kettaf;181403943;La fabrique des espaces publics : conceptions, formes et usages des places d'Oran (Algérie);Raffaele Cattedra;Cattedra Raffaele;069972095;Montpellier 3;026404702;Geographie;soutenue;;09-12-2013;fr;2013MON30095;oui;26-09-2011;14-12-2015;
Augustin Palliere (Pallière);179947214;« Un sac de riz vide ne tient pas debout » : dynamiques agraires régionales et marginalisation de la paysannerie sierra-léonaise;Hubert Cochet,Frédéric Landy;Cochet Hubert,Landy Frédéric;029906423,033585873;Paris 10;026403587;Géographie;soutenue;;02-07-2014;fr;2014PA100078;oui;26-09-2011;28-09-2016;
Antonin Montané;181308363;L'approche hydrogéomorphologique : pratiques, valorisations et développement d'une méthode de cartographie des zones inondables;Freddy Vinet,Thomas Buffin-Bélanger;Vinet Freddy,Buffin-Bélanger Thomas;052599450,181309378;Montpellier 3;026404702;Géographie;soutenue;;04-07-2014;fr;2014MON30014;oui;26-09-2011;14-12-2015;
Pierre Raffard;183359690;Migrations intérieures et citadinités : le rôle de l'alimentation dans les stratégies citadines des Gaziantepli d'Istanbul;Gilles Fumey;Fumey Gilles;057445230;Paris 4;026403633;Géographie;soutenue;;05-12-2014;fr;2014PA040208;non;26-09-2011;16-02-2017;
David Bénazéraf;12529347X;Produire la ville avec les Chinois en Afrique : l'impact des pratiques chinoises d'urbanisme dans les trajectoires urbaines africaines;Thierry Sanjuan;Sanjuan Thierry;034936203;Paris 1;027361802;Géographie;soutenue;;19-12-2014;fr;2014PA010560;non;13-07-2013;07-06-2017;
Marc Bertran Rojo;189538996;Correr entre los escombros - Courir entre les débris. La mobilité individuelle en période de crise sismique : facteur d'exposition humaine dans le cas du séisme de Lorca (Espagne 2011);Philippe Schoeneich,Céline Barrère-Lutoff;Schoeneich Philippe,Barrère-Lutoff Céline;050289764,068866658;Grenoble;030327202;Géographie;soutenue;;07-10-2014;fr;2014GRENU040;oui;16-10-2013;19-01-2016;
Gabriel Servera-Vives;183690435;Dynamique holocène du paysage et mobilités des pratiques territoriales au mont Lozère (Massif central, France) : Approche paléoenvironnementale multi-indicateurs à haute résolution spatio-temporelle;Philippe Allée,Santiago Riera Mora,Yannick Miras;Allée Philippe,Riera Mora Santiago,Miras Yannick;10453978X,184221889,110747836;Limoges;026403315;Geographie;soutenue;;12-12-2014;fr;2014LIMO0031;oui;29-10-2013;20-11-2015;
Greta Tommasi;183438787;Vivre (dans) des campagnes plurielles : Mobilités et territoires dans les espaces ruraux. : L'exemple de la Sierra de Albarracín et du Limousin;Nathalie Bernardie-Tahir,Frédéric Richard;Bernardie-Tahir Nathalie,Richard Frédéric;051621282,06713629X;Limoges;026403315;Geographie;soutenue;;11-12-2014;fr;2014LIMO0026;oui;29-10-2013;20-11-2015;
Adélaïde Schindler Hamiti;183933834;Offre de soins dans le Massif central : Territorialisation, gouvernance et initiatives pour faire face aux nouveaux enjeux;Laurent Rieutort;Rieutort Laurent;034325689;Clermont-Ferrand 2;026403102;Geographie;soutenue;;24-06-2014;fr;2014CLF20011;oui;05-02-2014;05-04-2016;
Amandine Perret;181276801;Géopatrimoine des trois Chablais : identification et valorisation des témoins glaciaires;Jean-Jacques Delannoy,Emmanuel Reynard;Delannoy Jean-Jacques,Reynard Emmanuel;029298237,110335317;Grenoble;030327202;Géographie;soutenue;;11-06-2014;fr;2014GRENA014;oui;27-05-2014;21-10-2014;
Lisa Ernoul;188126740;Entre Camargue et Delta de Gediz : réflexions sur les transferts de modèles de gestion intégrée des zones côtières;Sébastien Oliveau,Alain Sandoz,Angela Wardell-Johnson;Oliveau Sébastien,Sandoz Alain,Wardell-Johnson Angela;083227210,140394494,188126899;Aix-Marseille;15863621X;Géographie;soutenue;;28-11-2014;fr;2014AIXM3065;non;28-08-2014;26-11-2015;
Karine Ginisty;182628582;Inégalités et (in)justices spatiales à Maputo : pratiques des services urbains (Mozambique);Philippe Gervais-Lambony;Gervais-Lambony Philippe;033124205;Paris 10;026403587;Géographie;soutenue;;24-10-2014;fr;2014PA100112;non;26-09-2011;20-05-2015;
Christophe Poser;188413685;Influence de la température sur la phénologie de la canne à sucre : conséquences sur la phase d'implantation de la culture dans les Hauts de La Réunion;Gilles Lajoie,Françoise Ruget;Lajoie Gilles,Ruget Françoise;031442897,182343731;La Réunion;026404451;Géographie;soutenue;;05-09-2013;fr;2013LARE0030;oui;26-09-2011;03-06-2017;
Nicolas Marc;181413639;"Enjeux d'appropriation de l'espace aérien en France et en Europe : vers une territorialisation spécifique;Vincent Veschambre;Veschambre Vincent;033661804;Angers;026402920;Géographie;soutenue;;01-01-2014;fr;2014ANGE0001;oui;14-12-2012;30-06-2017;
Charlotte Cabasse-Mazel;194686892;Waiting for the Big One : instauration of the risk of Earthquake in the San Francisco Bay Area;Valérie November;November Valérie;07155789X;Paris Est;121855465;Géographie;soutenue;;06-01-2015;en;2015PEST1077;oui;07-06-2013;21-05-2017;
Antoine Tabourdeau;184442869;Entre forêt et énergie : composer la transition : le cas du bois-énergie en Auvergne et Rhône-Alpes;Olivier Soubeyran;Soubeyran Olivier;03006905X;Grenoble;030327202;Géographie;soutenue;;18-11-2014;fr;2014GRENH005;oui;16-10-2013;09-07-2015;
Lucas Del Biondo;188311262;Les stratégies de recomposition urbaine soutenable des anciens territoires industrialo-urbains : étude du territoire franco-luxembourgeois de la haute vallée de l'Alzette et apports d'exemples européens;Michel Deshaies;Deshaies Michel;076905756;Université de Lorraine;157040569;Géographie;soutenue;;04-12-2014;fr;2014LORR0358;oui;26-09-2011;15-12-2015;
Christine Salomone;185735088;Perception et représentations d’une destination touristique : le cas de Naples;Marie-Madeleine Damien;Damien Marie-Madeleine;034991891;Lille 1;026404184;Géographie;soutenue;;09-12-2014;fr;2014LIL10195;non;26-09-2011;19-06-2015;
Salima Nekrouf;185418090;Calcutta et ses ports : 40 ans de développement régional et de gouvernance portuaire : Acteurs, enjeux et conflits;David Giband,Valérie Lavaud-Letilleul;Giband David,Lavaud-Letilleul Valérie;092594565,069629285;Perpignan;026403692;Géographie;soutenue;;09-04-2015;fr;2015PERP0003;non;27-04-2012;24-10-2015;
Etienne Delay;187746702;Réflexions géographiques sur l'usage des systèmes multi agents dans la compréhension des processus d'évolution des territoires viticoles de fortes pentes : le cas de la Côte Vermeille et du Val di Cembra;Philippe Allée,Eric Rouvellac,Nicolas Becu;Allée Philippe,Rouvellac Eric,Becu Nicolas;10453978X,094835462,116015667;Limoges;026403315;Geographie;soutenue;;10-06-2015;fr;2015LIMO0037;oui;29-10-2013;07-02-2017;
Elodie Buard;174365004;Dynamiques des interactions espèces - espace : mise en relation des pratiques de déplacement des populations d'herbivores et de l'évolution de l'occupation du sol dans le parc de Hwange (Zimbabwe).;Léna Sanders;Sanders Léna;028807405;Paris 1;027361802;Geographie;soutenue;;01-03-2013;fr;2013PA010606;oui;21-11-2013;23-11-2016;
Vu Khac Dang;184543835;Subsidence et planification territoriale : le cas d’Ha Noi, Vietnam;Christiane Weber;Weber Christiane;034178864;Strasbourg;131056549;Géographie;soutenue;;25-09-2014;fren;2014STRAH016;non;24-04-2015;06-05-2017;
Saïd Derouich;185502253;Les Palmeraies du pays des Id Brahim et des Aït Herbil : un espace en crise du sud ouest marocain;André Humbert;Humbert André;026928167;Université de Lorraine;157040569;Géographie;soutenue;;13-12-2013;fr;2013LORR0346;oui;13-05-2015;13-05-2015;
Karalan Sy;184436028;Industrie et développement territorial : l’insertion des sociétés agro-industrielles dans le Delta et la Basse Vallée du fleuve Sénégal (rive gauche);Alain Dubresson,Sidy Mohamed Seck;Dubresson Alain,Seck Sidy Mohamed;026840200,031093094;Paris 10;026403587;Géographie;soutenue;;18-12-2014;fr;2014PA100184;non;20-05-2015;08-05-2017;
Elsa Coslado;175451214;Etalement urbain et opérations immobilières périurbaines pour classes moyennes à Marrakech : production, peuplement et modes d'habiter;Pierre Signoles;Signoles Pierre;027137899;Tours;026404478;Géographie;soutenue;;30-11-2015;fr;2015TOUR1503;oui;26-09-2011;11-05-2016;
Clotilde Luquiau;184948266;La nature écartelée : tourisme, environnement et développement dans la basse Kinabatangan à Bornéo (Sabah, Malaisie);Muriel Charras,Frédéric Landy;Charras Muriel,Landy Frédéric;080217133,033585873;Paris 10;026403587;Géographie;soutenue;;29-01-2015;fr;2015PA100021;non;26-09-2011;21-05-2015;
Mathias Boun Heng;170475867;La sédimentation dans les lacs de barrage à Java, Indonésie. Processus, rythmes et impacts.;Franck Lavigne,Charles Le Coeur;Lavigne Franck,Le Coeur Charles;076351920,034703853;Paris 1;027361802;Geographie;soutenue;;22-03-2013;fr;2013PA010564;oui;04-07-2013;23-11-2016;
Nicolas Schoenenwald;170545709;Les tempêtes en France et dans les îles Britanniques : des aléas aux événements;Martine Tabeaud;Tabeaud Martine;029228433;Paris 1;027361802;Geographie;soutenue;;05-03-2013;fr;2013PA010563;oui;09-07-2013;04-07-2017;
Abdoulkader Afane;189427116;La zone pastorale de l'Eghazer (Nord - Ingall - Niger) : condtions pour la mise en place d'une cogestion des ressources végétales dans le cadre d'un développement et d'une conservation durables;Olivier Soubeyran,Boubacar Yamba;Soubeyran Olivier,Yamba Boubacar;03006905X,152264426;Grenoble Alpes;184668794;Géographie;soutenue;;30-01-2015;fr;2015GREAH002;non;08-11-2013;17-11-2015;
Sabine Michel;19715381X;Impacts des conditions territoriales sur la mise en place et le développement des démarches collectives de valorisation de la viande bovine en zones de moyenne montagne auvergnate;Laurent Rieutort,Marie Houdart,Virginie Baritaux;Rieutort Laurent,Houdart Marie,Baritaux Virginie;034325689,128215380,085183040;Clermont-Ferrand 2;026403102;Geographie;soutenue;;25-09-2015;fr;2015CLF20018;oui;05-02-2014;10-01-2017;
Aichata Founé Mohamed Sako;194702928;Vulgarisation d’un caractère prometteur d’adaptation à la variabilité environnementale : où peut-on promouvoir le photopériodisme des variétés de mil etsorgho sous les climats actuels et futurs en Afrique de l’Ouest ?;Vincent Godard;Godard Vincent;113521766;Paris 8;026403552;Geographie;soutenue;;04-06-2015;fr;2015PA080099;oui;26-05-2014;30-08-2016;
Adélaîde Maria Macaba;193839768;L’apport des outils géomatiques dans l’analyse de l’extension des aires urbaines de Maputo et de ses problèmes environnementaux;Alphonse Yapi-Diahou;Yapi-Diahou Alphonse;055752306;Paris 8;026403552;Geographie;soutenue;;23-09-2015;fr;2015PA080080;oui;26-05-2014;17-06-2016;
Pauline Vilain-Carlotti;192722719;Perceptions et représentations du risque d'incendie de forêt en territoires méditerranéens : la construction socio-spatiale du risque en Corse et en Sardaigne;Bouziane Semmoud,Antoine Da Lage;Semmoud Bouziane,Da Lage Antoine;029003105,054060710;Paris 8;026403552;Geographie;soutenue;;23-11-2015;fr;2015PA080049;oui;26-05-2014;20-04-2016;
Bruno Dewailly;164202854;Pouvoir et production urbaine à Tripoli Al-Fayha'a (Liban) : quand l'illusio de la rente foncière et immobilière se mue en imperium;Pierre Signoles;Signoles Pierre;027137899;Tours;026404478;Géographie;soutenue;;02-03-2015;fr;2015TOUR1501;non;23-07-2015;18-09-2015;
Baher Habib;191754102;Relations entre karstification, cadre morphostructural et incisions des vallées dans les calcaires du Dogger en Haute-Saône (plateaux de Vesoul et de Combeaufontaine);Dominique Harmand;Harmand Dominique;031273750;Université de Lorraine;157040569;Géographie;soutenue;;11-12-2015;fr;2015LORR0223;non;26-09-2011;19-05-2017;
Judicaëlle Dietrich;183708032;Une géographie de la pauvreté à Jakarta : Espaces de la pauvreté et places des pauvres dans une métropole contemporaine;Olivier Sevin;Sevin Olivier;052195392;Paris 4;026403633;Géographie;soutenue;;13-11-2015;fr;2015PA040147;non;26-09-2011;10-04-2017;
Hari Gobinda Roy;197678157;Evolution de l’évolution de l’occupation du sol (1950-2025) et impacts sur l’érosion du sol dans un bassin versant méditerranéen;Dennis Fox;Fox Dennis;12277180X;Côte d'Azur;185433669;Géographie;soutenue;;15-09-2016;fr;2016AZUR2024;oui;26-09-2011;19-01-2017;
Jean-Kevin Aimé Tsiba;188422897;L'exploitation minière dans la région du Haut-Ogooué (Gabon) : contribution à l'étude des impacts environnementaux;Michel Deshaies;Deshaies Michel;076905756;Université de Lorraine;157040569;Géographie;soutenue;;13-11-2014;fr;2014LORR0361;non;26-09-2011;15-12-2015;
Lisa Rolland;193068885;La campagne "Fair Trade Towns" : une mise en territoires du commerce équitable au nom du développement durable : exemples de Lyon et Bruxelles-Capitale;Monique Poulot;Poulot Monique;05506051X;Paris 10;026403587;Géographie;soutenue;;04-12-2015;fr;2015PA100154;oui;18-04-2012;29-06-2016;
Cécile Gintrac;102219796;Au seuil critique de la ville : trois groupes de géographie engagée;Philippe Gervais-Lambony,Sonia Lehman-Frisch;Gervais-Lambony Philippe,Lehman-Frisch Sonia;033124205,083867953;Paris 10;026403587;Géographie;soutenue;;30-11-2015;fr;2015PA100134;non;18-04-2012;08-07-2016;
Eloïse Libourel;151445338;Le corridor ferroviaire méditerranéen : planification, politisation et territorialisation d'un projet d'aménagement;Nacima Baron-Yellès;Baron-Yellès Nacima;050462792;Paris Est;190456396;Géographie;soutenue;;27-11-2015;fr;2015PESC1180;oui;07-06-2013;21-05-2017;
Caroline Brand;20080314X;Alimentation et métropolisation : repenser le territoire à l’aune d’une problématique vitale oubliée;Martin Vanier;Vanier Martin;031315453;Grenoble Alpes;184668794;Géographie;soutenue;;10-12-2015;fr;2015GREAH031;oui;08-11-2013;29-05-2017;
Pierre-Olivier Garcia;198087411;Sous l'adaptation, l'immunité : étude sur le discours de l'adaptation au changement climatique;Olivier Soubeyran;Soubeyran Olivier;03006905X;Grenoble Alpes;184668794;Géographie;soutenue;;26-11-2015;fr;2015GREAH025;oui;08-11-2013;17-02-2017;
Nizar Hammed;195459202;Le tourisme rural au service du développement régional en Kroumirie (Tunisie) : entre potentialités locales et réalités du développement durable;Daniel Ricard;Ricard Daniel;034101683;Clermont-Ferrand 2;026403102;Geographie;soutenue;;22-05-2015;fr;2015CLF20004;non;05-02-2014;20-10-2016;
Julien Dupoux;197508243;Production et exercice du pouvoir en milieu paysan sur le plateau de Millevaches;Laurent Rieutort;Rieutort Laurent;034325689;Clermont-Ferrand 2;026403102;Geographie;soutenue;;10-12-2015;fr;2015CLF20021;oui;05-02-2014;16-02-2017;
Abdelghani Qadem;192766279;Quantification, modélisation et gestion de la ressource en eau dans le bassin versant du Haut Sebou (Maroc);Emmanuel Gille,Brahim Akdim;Gille Emmanuel,Akdim Brahim;132394219,192768700;Université de Lorraine;157040569;Géographie;soutenue;;04-12-2015;fr;2015LORR0263;oui;15-06-2015;19-05-2017;
Iris Polyzos;188732500;Parcours des migrants et mutations sociospatiales à Athènes : le cas des commerçants chinois à Metaxourgio;Emmanuel Ma Mung,Dina Vaiou;Ma Mung Emmanuel,Vaiou Dina;030350581,178478717;Poitiers;026403765;Géographie;soutenue;;24-06-2014;fr;2014POIT5008;oui;12-10-2015;13-10-2015;
Marie-Pierre Anglade;177461241;Casablanca, une "ville à l'envers". Urbanités métropolitaines au prisme de la marginalité sociale au Maroc;Nora Semmoud,Agnès Deboulet;Semmoud Nora,Deboulet Agnès;058756175,055304656;Tours;026404478;Géographie;soutenue;;14-12-2015;fr;2015TOUR1504;oui;13-10-2015;23-08-2016;
Larbi Meftah;191446432;L'intercommunalité urbaine en France : processus, contraintes et perspectives;François Hulbert;Hulbert François;033859671;Université de Lorraine;157040569;Géographie;soutenue;;04-12-2012;fr;2012LORR0421;non;17-02-2016;11-05-2016;
Yaya Diallo;191475009;Dakar, métropole en mouvement : recomposition territoriale et enjeux de la gouvernance urbaine à Rufisque;Pierre Ginet;Ginet Pierre;083232001;Université de Lorraine;157040569;Géographie;soutenue;;31-01-2014;fr;2014LORR0370;oui;18-02-2016;19-05-2017;
